Time_ms,Cycle,Ax,Ay,Az,Force_kg
406650,1161,-444,-52,-5154,48.72
406700,1162,432,-171,9967,49.36
406750,1162,133,-235,16509,48.97
406800,1162,-88,97,9708,49.16
406850,1162,-144,158,-5145,48.38
406900,1162,-67,-68,-15931,48.55
406950,1162,37,-51,-13338,48.19
407000,1162,264,-100,-169,48.1
407050,1163,-17,-165,13469,48.64
407100,1163,-402,-52,15531,49.09
407150,1163,-599,-137,4797,49.0
407200,1163,-288,35,-10025,49.22
407250,1163,37,-73,-16653,48.89
407300,1163,102,-141,-9650,49.04
407350,1163,267,3,5358,48.97
407400,1164,335,-200,15594,47.73
407450,1164,-1,-29,13719,49.19
407500,1164,292,57,-78,48.47
407550,1164,-199,-45,-13558,48.98
407600,1164,58,39,-16187,48.56
407650,1164,-195,-194,-5273,48.66
407700,1164,-237,-144,9732,48.58
407750,1165,307,-97,16592,47.88
407800,1165,281,-103,9757,48.63
407850,1165,329,-124,-5385,48.94
407900,1165,122,-184,-16049,48.78
407950,1165,-412,-189,-13687,48.83
408000,1165,223,87,-406,48.75
408050,1165,318,-162,13270,48.76
408100,1166,-132,-37,15598,49.3
408150,1166,221,-88,5542,48.94
408200,1166,293,-76,-9788,49.11
408250,1166,-253,17,-16779,48.73
408300,1166,436,-26,-9887,49.11
408350,1166,240,-97,5135,49.15
408400,1166,-205,-78,15932,48.72
408450,1167,34,-53,13550,49.01
408500,1167,324,61,304,49.36
408550,1167,-266,-176,-13307,49.07
408600,1167,186,-278,-15712,48.63
408650,1167,-649,26,-5226,49.79
408700,1167,-29,12,9919,48.43
408750,1167,103,108,16989,48.99
408800,1168,-468,-11,9222,49.38
408850,1168,399,-86,-4997,49.12
408900,1168,663,66,-16133,48.9
408950,1168,-252,24,-13480,48.88
409000,1168,146,76,-74,48.84
409050,1168,-743,-89,14177,48.82
409100,1168,674,-96,15724,48.19
409150,1169,588,34,5496,48.38
409200,1169,187,-44,-9795,48.64
409250,1169,302,-11,-16784,48.35
409300,1169,97,-57,-9741,49.55
409350,1169,-571,-14,4890,48.28
409400,1169,233,28,15819,48.99
409450,1169,460,-114,13955,49.17
409500,1170,175,-62,-7,48.7
409550,1170,409,-56,-13779,48.61
409600,1170,-305,-71,-16144,49.13
409650,1170,159,-34,-5162,48.83
409700,1170,-601,-26,9860,49.4
409750,1170,-432,-139,16655,49.02
409800,1170,-354,-136,9934,48.78
409850,1171,213,-37,-4972,48.65
409900,1171,-378,-174,-15792,49.15
409950,1171,139,-71,-13727,48.37
410000,1171,178,-43,270,48.38
410050,1171,-101,-60,13543,49.76
410100,1171,-560,-199,15880,48.8
410150,1171,468,-100,5164,48.77
410200,1172,321,-38,-9713,49.03
410250,1172,-213,-152,-16840,48.53
410300,1172,-111,-137,-9984,48.9
410350,1172,-120,-75,5142,49.36
410400,1172,153,-149,16019,48.66
410450,1172,-324,-159,13388,49.15
410500,1172,-246,-15,90,49.0
410550,1173,17,-108,-13529,48.63
410600,1173,57,70,-15386,48.45
410650,1173,714,15,-5334,48.86
410700,1173,482,71,10013,48.8
410750,1173,-172,138,16823,48.81
410800,1173,411,53,9474,49.37
410850,1173,247,-126,-5308,49.38
410900,1174,302,-133,-15917,49.25
410950,1174,-567,-67,-13650,49.12
411000,1174,349,-95,-167,49.61
411050,1174,122,-66,13596,48.3
411100,1174,-396,0,16099,48.25
411150,1174,274,4,5135,49.15
411200,1174,-615,-104,-9549,48.87
411250,1175,159,-29,-16471,48.92
411300,1175,380,49,-9998,48.09
411350,1175,-167,-62,5392,48.46
411400,1175,321,-64,15525,49.72
411450,1175,-91,55,13525,49.25
411500,1175,325,-5,-105,48.49
411550,1175,-766,-195,-13440,48.45
411600,1176,61,-30,-16130,49.52
411650,1176,431,-92,-5222,49.51
411700,1176,739,-130,9775,49.05
411750,1176,-415,103,16595,48.86
411800,1176,128,7,9775,50.02
411850,1176,-343,-23,-5100,49.51
411900,1176,164,-6,-16039,48.2
411950,1177,47,-151,-13627,48.75
412000,1177,-2,-59,10,49.32
412050,1177,77,-119,13185,49.44
412100,1177,71,-62,15827,48.75
412150,1177,353,-300,5067,49.08
412200,1177,-87,-97,-9996,49.0
412250,1177,217,-85,-16715,48.4
412300,1178,380,-210,-9986,49.24
412350,1178,347,-34,4810,49.06
412400,1178,-708,-53,15894,48.94
412450,1178,39,147,13601,49.08
412500,1178,-69,76,12,48.95
412550,1178,631,-65,-13798,48.75
412600,1178,-407,1,-15684,48.74
412650,1179,-261,25,-5453,48.31
412700,1179,461,-208,9608,48.69
412750,1179,175,-234,16498,49.31
412800,1179,-249,28,9660,48.8
412850,1179,-93,65,-5054,48.38
412900,1179,170,49,-15878,48.67
412950,1179,-2,105,-13696,49.24
413000,1180,94,5,-143,48.45
413050,1180,154,-25,13767,48.79
413100,1180,388,-193,16014,48.9
413150,1180,133,-80,5101,48.06
413200,1180,-540,-9,-9830,48.74
413250,1180,-18,-64,-16182,49.07
413300,1180,-28,118,-10290,48.63
413350,1181,-283,-44,5378,48.02
413400,1181,-33,-166,15740,48.97
413450,1181,-90,44,13320,48.69
413500,1181,117,-31,-76,48.57
413550,1181,-299,50,-13809,48.56
413600,1181,-162,-149,-15861,48.12
413650,1181,193,-200,-5586,49.18
413700,1182,-298,-42,10077,48.22
413750,1182,-490,-55,16658,48.63
413800,1182,-221,-99,10054,48.5
413850,1182,257,-14,-5471,49.49
413900,1182,-365,-69,-15608,48.69
413950,1182,336,-57,-13639,48.42
414000,1182,159,36,153,48.72
414050,1183,-109,-151,13274,48.62
414100,1183,-511,-94,15712,48.4
414150,1183,52,-133,5402,48.87
414200,1183,198,24,-9679,49.48
414250,1183,173,-41,-16731,49.08
414300,1183,121,-40,-9929,49.02
414350,1183,95,-121,4375,48.27
414400,1184,113,-24,15496,49.18
414450,1184,277,-42,13394,49.03
414500,1184,-260,-67,-1,48.46
414550,1184,170,27,-13386,49.04
414600,1184,-282,3,-15747,48.64
414650,1184,197,-74,-4940,48.81
414700,1184,-339,-109,9912,49.21
414750,1185,391,-121,16520,48.56
414800,1185,638,-116,10280,48.32
414850,1185,-111,-111,-4990,48.07
414900,1185,-420,-126,-16147,49.16
414950,1185,0,56,-13724,48.8
415000,1185,279,-88,-23,48.6
415050,1185,-298,-142,13539,49.01
415100,1186,-14,-107,16120,49.38
415150,1186,-117,50,4802,49.41
415200,1186,179,114,-9932,48.74
415250,1186,238,37,-16927,48.61
415300,1186,324,-78,-9739,48.68
415350,1186,330,-232,5264,48.34
415400,1186,437,-51,15992,49.51
415450,1187,158,-180,13346,49.52
415500,1187,-430,-189,125,49.47
415550,1187,100,-110,-13909,48.77
415600,1187,126,-23,-15944,49.24
415650,1187,-254,-153,-5515,48.93
415700,1187,-35,-152,9497,48.24
415750,1187,-52,-157,16374,49.15
415800,1188,-244,11,9865,48.86
415850,1188,-700,-228,-4814,48.96
415900,1188,-114,102,-15689,48.52
415950,1188,-60,-93,-13393,48.55
416000,1188,-161,-122,144,48.76
416050,1188,-241,-68,13419,49.32
416100,1188,577,22,15509,48.41
416150,1189,90,-65,5137,48.56
416200,1189,389,-92,-9783,48.8
416250,1189,40,-24,-16851,48.79
416300,1189,-487,-125,-10056,47.99
416350,1189,687,-49,5185,49.12
416400,1189,-246,-131,15926,48.84
416450,1189,24,33,13657,49.23
416500,1190,416,91,-438,48.46
416550,1190,-280,-48,-13466,48.24
416600,1190,-300,-13,-15683,48.79
416650,1190,-164,60,-5139,48.53
416700,1190,537,70,9957,49.16
416750,1190,175,-102,16755,48.65
416800,1190,-4,-107,10154,48.95
416850,1191,155,-37,-4939,48.76
416900,1191,-128,-108,-15856,48.94
416950,1191,-254,-153,-13120,48.79
417000,1191,228,-153,87,48.39
417050,1191,-632,-60,13241,48.18
417100,1191,135,147,15676,48.98
417150,1191,-325,-137,5011,48.12
417200,1192,309,32,-9759,49.23
417250,1192,-314,-130,-16530,49.07
417300,1192,-63,-92,-9987,48.89
417350,1192,32,-96,5284,48.75
417400,1192,250,114,15839,49.05
417450,1192,-47,-142,13134,48.59
417500,1192,-37,20,9,48.84
417550,1193,-193,-3,-13260,48.16
417600,1193,95,-233,-15771,48.87
417650,1193,276,67,-5118,48.65
417700,1193,-226,-137,9780,49.43
417750,1193,291,-81,17068,49.33
417800,1193,-90,-47,9818,48.46
417850,1193,593,-163,-5471,48.2
417900,1194,626,22,-15678,48.61
417950,1194,10,-38,-13205,49.06
418000,1194,-104,-114,-225,48.08
418050,1194,-37,-159,13486,49.17
418100,1194,183,-109,15764,49.7
418150,1194,-377,-38,5312,48.52
418200,1194,244,-40,-9611,48.64
418250,1195,88,99,-16974,48.99
418300,1195,122,-219,-9988,48.96
418350,1195,-121,126,5369,48.12
418400,1195,-170,-19,15954,49.11
418450,1195,229,202,13634,49.06
418500,1195,-142,-59,-368,48.83
418550,1195,-356,36,-14134,48.64
418600,1196,-253,45,-15602,48.34
418650,1196,665,4,-4980,48.61
418700,1196,28,14,9607,49.59
418750,1196,-272,-97,16590,48.79
418800,1196,25,-44,9971,48.76
418850,1196,91,-23,-4714,49.37
418900,1196,369,-124,-15702,48.77
418950,1197,-136,-111,-13628,48.94
419000,1197,151,-31,36,48.71
419050,1197,230,122,13575,48.55
419100,1197,43,-111,15911,48.96
419150,1197,518,-37,5102,48.62
419200,1197,-313,202,-9562,48.37
419250,1197,-224,-114,-16599,48.89
419300,1198,-349,-257,-9507,49.83
419350,1198,-63,-62,4986,48.02
419400,1198,-270,-213,15606,49.01
419450,1198,-357,-90,13579,48.84
419500,1198,-96,58,709,49.14
419550,1198,783,30,-13443,48.26
419600,1198,-678,111,-15895,48.46
419650,1199,-294,-95,-5043,48.55
419700,1199,416,-83,9802,48.78
419750,1199,246,72,16906,48.9
419800,1199,-266,-71,10074,48.4
419850,1199,-350,2,-4843,49.1
419900,1199,-535,-133,-16077,48.9
419950,1199,204,30,-13088,49.02
420000,1200,-172,-117,-212,48.98
420050,1200,-461,-94,13334,48.99
420100,1200,427,-3,15670,48.69
420150,1200,-104,-120,5189,48.54
420200,1200,308,-69,-10132,48.27
420250,1200,233,-87,-16593,49.09
420300,1200,-804,-136,-10016,48.75
420350,1201,-378,-56,5016,49.07
420400,1201,-251,-290,15560,48.83
420450,1201,388,178,13420,49.32
420500,1201,386,-162,-352,47.88
420550,1201,-386,-232,-13840,48.5
420600,1201,-421,14,-15704,48.49
420650,1201,-119,-124,-5121,48.65
420700,1202,60,89,9382,49.44
420750,1202,-146,-69,16525,49.14
420800,1202,-390,-29,9759,48.57
420850,1202,50,-120,-5434,48.99
420900,1202,92,-192,-15950,49.33
420950,1202,377,26,-13749,48.24
421000,1202,291,-37,386,49.3
421050,1203,13,-45,13711,49.36
421100,1203,-137,-2,16108,49.1
421150,1203,196,-181,5098,49.06
421200,1203,-7,-45,-10099,48.56
421250,1203,-190,-49,-16736,48.64
421300,1203,-172,-26,-9635,49.18
421350,1203,-33,-39,5053,48.92
421400,1204,-172,-149,15770,48.97
421450,1204,-408,-124,13367,48.53
421500,1204,312,26,1,48.84
421550,1204,277,-84,-13524,49.46
421600,1204,117,108,-15469,48.24
421650,1204,-227,-69,-5309,49.52
421700,1204,289,-116,10214,48.95
421750,1205,-75,58,16766,48.69
421800,1205,-410,-24,9861,48.61
421850,1205,-153,-39,-5347,49.29
421900,1205,480,-162,-15488,49.46
421950,1205,-269,-190,-13427,49.32
422000,1205,-464,-100,-48,48.01
422050,1205,-118,-103,13829,48.66
422100,1206,-24,-68,15987,48.85
422150,1206,-46,-115,5356,48.41
422200,1206,314,69,-10061,48.63
422250,1206,-212,7,-16457,48.42
422300,1206,108,5,-9872,48.73
422350,1206,-141,13,5294,49.16
422400,1206,137,150,15815,47.94
422450,1207,0,-96,13522,48.7
422500,1207,290,-333,32,48.61
422550,1207,-477,-92,-13446,48.06
422600,1207,-114,26,-15901,48.84
422650,1207,8,-161,-5182,47.98
422700,1207,197,66,9858,48.8
422750,1207,251,-279,16931,48.65
422800,1208,-92,91,10204,48.99
422850,1208,-189,-106,-5062,48.62
422900,1208,260,-39,-15761,49.32
422950,1208,-179,-55,-13299,48.58
423000,1208,-206,-31,444,48.56
423050,1208,-333,-20,13524,48.49
423100,1208,-149,-384,15640,48.74
423150,1209,-303,-214,5002,48.56
423200,1209,-208,88,-9621,48.54
423250,1209,93,-3,-16702,49.26
423300,1209,23,105,-10263,48.08
423350,1209,338,48,5087,48.3
423400,1209,-83,-21,15837,48.97
423450,1209,-11,50,13834,49.2
423500,1210,613,-14,185,48.92
423550,1210,37,-28,-13630,48.48
423600,1210,-465,-24,-15828,48.73
423650,1210,153,-205,-4679,48.65
423700,1210,-37,37,9896,48.21
423750,1210,-329,-7,16515,48.95
423800,1210,-98,-104,9898,48.57
423850,1211,156,-150,-5263,49.47
423900,1211,-248,-148,-15934,48.74
423950,1211,361,-68,-13449,49.05
424000,1211,406,43,-207,48.01
424050,1211,-156,32,13215,49.2
424100,1211,-599,25,15702,48.9
424150,1211,-34,45,5073,48.47
424200,1212,-482,-128,-9783,49.24
424250,1212,572,42,-16662,48.46
424300,1212,47,-105,-9988,49.09
424350,1212,467,-50,5276,48.94
424400,1212,-583,5,16014,48.62
424450,1212,-85,3,13630,48.24
424500,1212,-241,51,222,49.12
424550,1213,-377,-74,-13752,48.6
424600,1213,-185,-55,-16082,48.87
424650,1213,-571,-208,-5133,48.55
424700,1213,-193,-255,10138,48.93
424750,1213,60,-69,16630,48.62
424800,1213,-444,-57,9688,48.91
424850,1213,-502,-85,-4908,48.97
424900,1214,218,27,-15738,48.71
424950,1214,-50,-153,-13598,48.54
425000,1214,7,-14,-94,48.69
425050,1214,-173,-37,13317,48.74
425100,1214,-421,188,15857,49.23
425150,1214,-8,-47,5310,48.83
425200,1214,184,-137,-9751,48.6
425250,1215,217,-26,-16567,48.89
425300,1215,-159,-15,-9887,48.91
425350,1215,270,127,4775,49.64
425400,1215,259,-148,16018,48.84
425450,1215,-50,-35,13651,48.9
425500,1215,45,-102,187,48.72
425550,1215,-82,19,-13683,49.27
425600,1216,297,-2,-15789,48.73
425650,1216,-103,69,-4905,48.73
425700,1216,11,-95,9849,48.46
425750,1216,179,71,16611,48.18
425800,1216,221,5,9966,48.69
425850,1216,304,-68,-5083,48.89
425900,1216,105,12,-16186,48.79
425950,1217,-291,-122,-13443,48.59
426000,1217,-35,-142,54,48.5
426050,1217,-345,-75,13297,48.46
426100,1217,163,-4,15641,48.83
426150,1217,85,-127,5169,49.23
426200,1217,61,-122,-9860,49.36
426250,1217,201,81,-16310,48.64
426300,1218,-613,-9,-9645,48.82
426350,1218,39,-17,5322,48.95
426400,1218,-5,224,15813,48.75
426450,1218,-424,-35,13442,49.02
426500,1218,100,4,-174,48.96
426550,1218,214,-20,-13417,49.49
426600,1218,-34,-188,-15794,48.42
426650,1219,146,-180,-5136,48.85
426700,1219,350,-125,10000,48.21
426750,1219,68,-83,16642,48.95
426800,1219,-25,-81,9686,49.24
426850,1219,138,-118,-4987,48.56
426900,1219,515,73,-15769,49.24
426950,1219,123,-57,-13427,48.69
427000,1220,13,-119,120,49.62
427050,1220,376,-115,13513,49.02
427100,1220,489,-251,16231,47.66
427150,1220,178,57,5091,48.65
427200,1220,-112,-175,-9928,49.02
427250,1220,-292,-31,-16677,48.85
427300,1220,-507,-250,-9642,48.38
427350,1221,104,-47,5161,48.47
427400,1221,85,-101,15936,48.93
427450,1221,58,59,13706,48.33
427500,1221,97,-73,385,48.79
427550,1221,226,81,-13560,49.3
427600,1221,-104,-185,-16176,49.14
427650,1221,-315,-35,-5119,48.44
427700,1222,-121,-185,9567,49.45
427750,1222,-188,44,16847,48.92
427800,1222,-299,-128,9695,48.25
427850,1222,-309,-10,-5340,48.97
427900,1222,-143,-3,-15992,48.74
427950,1222,22,-49,-13232,48.69
428000,1222,-738,-170,380,48.63
428050,1223,-30,-258,13833,48.38
428100,1223,-280,-157,15837,48.11
428150,1223,413,-41,5119,49.19
428200,1223,-656,-10,-9662,48.86
428250,1223,301,-202,-16697,49.24
428300,1223,-75,41,-9784,48.92
428350,1223,129,-124,5000,48.57
428400,1224,128,-246,15930,48.85
428450,1224,-854,-58,13666,48.59
428500,1224,-184,-13,-90,48.55
428550,1224,18,117,-13394,48.95
428600,1224,-271,107,-16384,48.86
428650,1224,-118,-141,-5372,48.7
428700,1224,101,146,9610,48.84
428750,1225,84,-143,17088,48.77
428800,1225,162,-26,9773,48.98
428850,1225,-235,-80,-4845,48.42
428900,1225,-79,-86,-15834,48.26
428950,1225,84,-3,-13520,48.42
429000,1225,349,-131,41,48.11
429050,1225,267,-59,13399,48.15
429100,1226,-183,-8,16204,49.14
429150,1226,-90,-67,4818,49.46
429200,1226,-236,-63,-9777,49.04
429250,1226,-9,-11,-16696,48.64
429300,1226,115,-14,-9865,48.62
429350,1226,162,-100,5098,48.45
429400,1226,-53,-119,15733,48.65
429450,1227,-160,-1,13384,49.53
429500,1227,143,-32,138,48.95
429550,1227,-47,63,-13481,48.55
429600,1227,5,23,-15749,49.03
429650,1227,-297,-126,-5126,48.65
429700,1227,126,33,9933,48.86
429750,1227,212,-183,16945,48.45
429800,1228,596,94,9776,48.73
429850,1228,220,-120,-5134,48.93
429900,1228,255,-213,-15912,49.04
429950,1228,-171,2,-13295,48.83
430000,1228,-474,32,-30,48.44
430050,1228,-187,-181,13656,48.24
430100,1228,-374,-32,15864,48.92
430150,1229,63,-68,5203,49.0
430200,1229,-75,-213,-9623,48.8
430250,1229,68,-162,-16479,47.96
430300,1229,280,-82,-9976,48.99
430350,1229,-76,-78,5300,48.56
430400,1229,206,2,16419,48.77
430450,1229,-309,72,13414,48.96
430500,1230,268,52,276,49.43
430550,1230,8,-23,-13618,48.43
430600,1230,80,15,-16132,48.28
430650,1230,124,89,-5505,48.3
430700,1230,-146,-126,9813,49.11
430750,1230,288,-41,16678,48.77
430800,1230,14,-71,9843,48.99
430850,1231,-476,283,-5051,48.18
430900,1231,135,-159,-16075,48.76
430950,1231,258,-113,-13144,49.28
431000,1231,-22,-131,561,48.51
431050,1231,201,-168,13765,49.17
431100,1231,-63,50,16031,48.77
431150,1231,88,-2,5370,48.56
431200,1232,222,-295,-9801,49.05
431250,1232,-141,-43,-16733,48.5
431300,1232,-79,236,-9742,48.59
431350,1232,-528,-169,5014,47.98
431400,1232,-126,74,15422,48.57
431450,1232,-65,-193,13473,49.14
431500,1232,-224,-98,128,49.34
431550,1233,-67,26,-13800,49.0
431600,1233,29,77,-15732,48.76
431650,1233,-175,6,-5154,48.92
431700,1233,222,-152,10172,49.22
431750,1233,-22,155,16733,48.39
431800,1233,-340,-33,9602,48.88
431850,1233,322,52,-5483,48.51
431900,1234,-3,-193,-15576,48.09
431950,1234,267,57,-13743,48.77
432000,1234,245,30,50,48.7
432050,1234,-43,-17,13595,49.47
432100,1234,166,-157,15942,48.14
432150,1234,218,-34,5556,48.67
432200,1234,-147,103,-9759,48.52
432250,1235,-50,-94,-16783,48.59
432300,1235,-83,0,-9955,49.04
432350,1235,-95,-209,5408,48.44
432400,1235,271,36,15794,48.63
432450,1235,-674,-58,13713,48.27
432500,1235,-551,41,-76,49.35
432550,1235,-284,79,-13565,48.29
432600,1236,231,-184,-15797,49.04
432650,1236,-368,-103,-5067,49.13
432700,1236,46,177,9889,48.73
432750,1236,-175,-125,16881,48.78
432800,1236,-50,-101,9716,49.02
432850,1236,-265,-108,-5247,49.0
432900,1236,577,-183,-15812,48.84
432950,1237,-87,-78,-13547,48.38
433000,1237,-200,-137,352,49.44
433050,1237,298,-135,13375,48.06
433100,1237,-334,-115,15502,48.81
433150,1237,196,-179,5128,48.25
433200,1237,271,-1,-9853,49.42
433250,1237,-96,-53,-16547,48.82
433300,1238,638,-267,-10025,48.66
433350,1238,-111,-70,5337,48.92
433400,1238,150,-74,16058,48.76
433450,1238,-8,-68,13795,48.66
433500,1238,318,30,10,48.49
433550,1238,-299,-4,-13637,48.33
433600,1238,-439,-77,-15945,48.73
433650,1239,-149,-27,-4974,48.82
433700,1239,-195,36,10027,48.91
433750,1239,-287,-27,16586,48.52
433800,1239,-200,-109,9714,48.73
433850,1239,417,-185,-5028,49.42
433900,1239,-11,-167,-16048,48.69
433950,1239,-131,58,-13497,49.42
434000,1240,-99,-147,-164,48.67
434050,1240,-87,-120,13358,48.76
434100,1240,269,25,16086,48.54
434150,1240,36,217,5138,48.76
434200,1240,279,-171,-9826,49.53
434250,1240,-155,-144,-16907,48.69
434300,1240,-341,137,-9777,48.86
434350,1241,-32,-98,5088,49.56
434400,1241,304,0,15812,49.19
434450,1241,75,41,13317,48.18
434500,1241,-413,-246,95,48.54
434550,1241,201,-21,-13419,48.68
434600,1241,-211,-94,-15713,48.09
434650,1241,-166,-180,-5162,49.03
434700,1242,-717,-231,9544,48.64
434750,1242,-177,15,16760,49.04
434800,1242,156,-13,9560,48.53
434850,1242,321,53,-5488,48.6
434900,1242,-130,-41,-15966,49.1
434950,1242,181,-219,-13583,48.67
435000,1242,-381,-56,191,48.76
435050,1243,-156,-219,13557,48.61
435100,1243,151,-120,16057,48.6
435150,1243,-330,86,5150,48.61
435200,1243,-642,-65,-9974,48.37
435250,1243,136,-32,-16968,49.49
435300,1243,-335,12,-9948,48.39
435350,1243,-234,-4,5492,48.77
435400,1244,-977,-71,16009,48.44
435450,1244,100,-148,13458,49.36
435500,1244,-260,-185,-246,49.07
435550,1244,577,-215,-13681,48.08
435600,1244,-44,118,-16013,48.28
435650,1244,193,-205,-4807,49.04
435700,1244,111,-150,10043,48.56
435750,1245,28,69,16930,48.25
435800,1245,-278,91,9684,48.96
435850,1245,-105,-182,-5291,49.61
435900,1245,-173,28,-15812,49.08
435950,1245,364,-97,-13494,48.51
436000,1245,66,-307,-267,48.37
436050,1245,-39,-43,13203,48.78
436100,1246,364,18,16149,49.27
436150,1246,-247,-88,5209,49.14
436200,1246,-364,-78,-9784,48.77
436250,1246,164,-54,-16741,49.18
436300,1246,423,-125,-10085,49.46
436350,1246,164,-75,5092,48.27
436400,1246,-526,31,15654,48.78
436450,1247,28,-38,13600,48.5
436500,1247,54,-171,-113,48.58
436550,1247,-11,-52,-13555,49.14
436600,1247,-91,-142,-16120,48.42
436650,1247,196,-234,-5321,48.56
436700,1247,-78,-53,9618,49.06
436750,1247,67,16,17105,48.7
436800,1248,725,-46,10038,48.25
436850,1248,-338,1,-5177,49.07
436900,1248,24,91,-15984,48.1
436950,1248,-370,-57,-13781,48.77
437000,1248,31,-11,42,48.97
437050,1248,-548,41,13467,49.46
437100,1248,-357,-51,16032,48.97
437150,1249,-45,-26,5187,48.85
437200,1249,-41,-5,-9830,48.92
437250,1249,5,-71,-16414,48.47
437300,1249,-369,-284,-9766,49.63
437350,1249,-702,-83,5072,49.14
437400,1249,11,-127,16133,48.73
437450,1249,11,46,13759,48.58
437500,1250,-50,-74,-162,48.08
437550,1250,288,21,-13598,48.6
437600,1250,192,-25,-15982,49.12
437650,1250,-91,-13,-4851,49.53
437700,1250,-265,-184,9597,48.45
437750,1250,554,56,16796,48.65
437800,1250,-153,12,9728,48.6
437850,1251,198,58,-5434,48.74
437900,1251,-384,-110,-15870,48.98
437950,1251,-28,-126,-13807,48.71
438000,1251,-315,-83,-149,48.79
438050,1251,48,-76,13651,48.36
438100,1251,198,-157,15639,48.24
438150,1251,332,-235,5010,49.54
438200,1252,206,-47,-10208,48.89
438250,1252,-352,-93,-17087,47.92
438300,1252,-35,-71,-9549,48.61
438350,1252,32,97,5250,48.96
438400,1252,-325,-161,15863,48.5
438450,1252,-220,9,13550,48.7
438500,1252,-273,-38,-25,47.93
438550,1253,-97,8,-13466,48.69
438600,1253,137,-165,-16004,48.83
438650,1253,-547,5,-5098,49.15
438700,1253,522,-68,9850,48.21
438750,1253,-398,-160,16503,48.94
438800,1253,442,165,9789,48.84
438850,1253,-72,-45,-5182,49.1
438900,1254,177,83,-15927,48.08
438950,1254,-250,25,-13526,49.16
439000,1254,-146,-116,30,48.21
439050,1254,120,23,13374,48.26
439100,1254,113,39,15697,48.75
439150,1254,439,-104,5077,48.38
439200,1254,-133,45,-9654,49.29
439250,1255,-154,-318,-16927,48.78
439300,1255,164,-165,-9490,48.53
439350,1255,-81,-198,5154,49.1
439400,1255,139,-40,15837,49.24
439450,1255,10,-101,13480,47.78
439500,1255,-224,-43,211,49.24
439550,1255,297,-4,-13146,48.83
439600,1256,433,-61,-15718,48.65
439650,1256,604,-281,-5096,49.13
439700,1256,144,100,9856,49.29
439750,1256,53,50,16722,49.54
439800,1256,-356,-43,9720,48.67
439850,1256,-350,-172,-5107,48.47
439900,1256,-223,-236,-16036,49.06
439950,1257,15,84,-13803,48.83
440000,1257,39,-163,-71,48.91
440050,1257,199,-116,13692,48.56
440100,1257,153,-70,15967,48.26
440150,1257,90,-115,5407,48.92
440200,1257,-269,-237,-9703,48.9
440250,1257,282,22,-16673,48.85
440300,1258,-99,-204,-10144,48.42
440350,1258,695,-154,5068,49.07
440400,1258,252,-287,16131,48.74
440450,1258,450,-31,13540,49.31
440500,1258,-495,-23,526,48.03
440550,1258,-115,-31,-13853,48.75
440600,1258,295,40,-15930,49.0
440650,1259,-98,113,-4938,48.97
440700,1259,207,-71,9720,48.68
440750,1259,342,-181,16722,48.12
440800,1259,23,76,9740,48.9
440850,1259,-240,-55,-5239,48.86
440900,1259,-174,-69,-15869,48.64
440950,1259,195,-89,-13604,48.26
441000,1260,214,-113,16,48.74
441050,1260,306,-115,13678,48.78
441100,1260,-300,-230,15978,48.5
441150,1260,-441,-135,5206,49.89
441200,1260,455,55,-9898,49.1
441250,1260,-74,-91,-16751,48.11
441300,1260,-244,35,-9579,49.13
441350,1261,217,-102,5394,48.97
441400,1261,-88,39,16194,48.59
441450,1261,260,-143,13322,48.55
441500,1261,223,-155,254,48.87
441550,1261,-144,-122,-13304,48.98
441600,1261,46,11,-15840,47.94
441650,1261,149,-121,-5083,48.5
441700,1262,-28,-316,9900,49.17
441750,1262,18,12,17024,49.13
441800,1262,533,1,9732,49.0
441850,1262,-390,-54,-4766,48.56
441900,1262,229,-55,-16082,48.45
441950,1262,79,-55,-13662,48.57
442000,1262,129,-68,-24,48.87
442050,1263,-788,65,13726,48.15
442100,1263,-170,11,15881,49.22
442150,1263,-263,-73,5320,49.34
442200,1263,164,-72,-10145,48.05
442250,1263,12,-101,-16859,49.03
442300,1263,-73,-42,-9840,49.08
442350,1263,-7,-219,4832,48.65
442400,1264,-25,-47,15803,48.8
442450,1264,185,-7,13566,48.67
442500,1264,200,-177,-112,48.59
442550,1264,124,-88,-13720,49.27
442600,1264,294,-40,-15854,48.68
442650,1264,-143,47,-5161,48.23
442700,1264,71,-23,9677,49.44
442750,1265,203,-97,17077,48.26
442800,1265,-248,-95,9635,49.29
442850,1265,119,-51,-5562,48.7
442900,1265,-194,-209,-15739,49.56
442950,1265,215,73,-13677,48.45
443000,1265,67,-65,29,49.1
443050,1265,-4,36,13646,48.35
443100,1266,57,-171,15802,49.26
443150,1266,18,-148,5281,49.12
443200,1266,-496,-124,-9917,48.72
443250,1266,9,-186,-16786,48.51
443300,1266,322,172,-9535,49.14
443350,1266,42,-116,5129,48.86
443400,1266,-69,-104,15905,47.94
443450,1267,-145,-69,13212,49.19
443500,1267,-244,-16,-190,48.9
443550,1267,458,2,-13498,49.07
443600,1267,0,-190,-15937,48.95
443650,1267,16,20,-4906,48.79
443700,1267,-327,68,9769,49.38
443750,1267,-137,-20,16880,48.88
443800,1268,-243,-57,9801,49.24
443850,1268,751,-138,-5046,49.58
443900,1268,-180,-7,-16122,48.98
443950,1268,275,78,-13701,48.29
444000,1268,212,-46,-326,48.76
444050,1268,-3,-10,13583,49.14
444100,1268,192,-172,15827,48.18
